|id|code|name|en_name|college|teacher
0|493509|ARTS1101|编剧基础|Introduction to Screenwriting|创意与艺术学院|Peter Robinson
1|493509|ARTS1101|编剧基础|Introduction to Screenwriting|创意与艺术学院|Irving Belateche
2|493507|ARTS1102|剧本分析|Script Analysis|创意与艺术学院|Peter Robinson
3|493507|ARTS1102|剧本分析|Script Analysis|创意与艺术学院|朱轶隽
4|493507|ARTS1102|剧本分析|Script Analysis|创意与艺术学院|
5|493507|ARTS1102|剧本分析|Script Analysis|创意与艺术学院|Craig Sabin
6|493507|ARTS1102|剧本分析|Script Analysis|创意与艺术学院|Irving Belateche
7|493505|ARTS1103|中级编剧|Intermediate Screenwriting|创意与艺术学院|Peter Robinson
8|493505|ARTS1103|中级编剧|Intermediate Screenwriting|创意与艺术学院|Craig Sabin
9|621449|ARTS1104|高级编剧|Practicum in Screenwriting|创意与艺术学院|Peter Robinson
10|621449|ARTS1104|高级编剧|Practicum in Screenwriting|创意与艺术学院|Craig Sabin
11|621448|ARTS1105|叙事与表达|Storytelling and Presentation|创意与艺术学院|朱轶隽
12|745206|ARTS1106|英美剧赏析|US-UK Television Appreciation|创意与艺术学院|朱轶隽
13|493568|ARTS1201|创意思考和绘画|Creative Thinking and Drawing|创意与艺术学院|Brooke Larsen
14|493566|ARTS1202|素描写生|Life Drawing|创意与艺术学院|王搏
15|493577|ARTS1203|色彩艺术与创意表达|The Art of Color & Creative Expressions|创意与艺术学院|王颉
16|621451|ARTS1205|雕塑基础|Introduction to Sculpture|创意与艺术学院|王搏
17|621450|ARTS1206|中国黑白木刻赏析与创作|Appreciation and Practice of Chinese Black and White Woodcuts|创意与艺术学院|辜居一
18|745207|ARTS1207|视觉叙事|Visual Storytelling|创意与艺术学院|王搏
19|693313|ARTS1208|色彩理论与应用|Colour Theory and Application|创意与艺术学院|王颉
20|777532|ARTS1209|角色设计|Character Design|创意与艺术学院|王搏
21|885694|ARTS1210|色彩实验与艺术表现|Color Experiment and Artistic Expression|创意与艺术学院|王颉
22|885693|ARTS1211|插画基础|Fundamental of Illustration|创意与艺术学院|王搏
23|493636|ARTS1301|创意编程和光雕投影|Projection Mapping and Creative Coding with Processing|创意与艺术学院|Jayson Haedbich
24|493649|ARTS1302|游戏设计|Game Design|创意与艺术学院|Mikkel Lodahl
25|493645|ARTS1303|Unity游戏创作|Unity Game Development|创意与艺术学院|陆璇迪
26|493645|ARTS1303|Unity游戏创作|Unity Game Development|创意与艺术学院|Brian Cox,陆璇迪
27|493645|ARTS1303|Unity游戏创作|Unity Game Development|创意与艺术学院|Brian Cox
28|493643|ARTS1304|科技动画、建模和渲染|Scientific Animation, Modeling and Rendering|创意与艺术学院|颜格
29|621452|ARTS1306|Unreal 游戏创作|Unreal Game Development|创意与艺术学院|Tomasz Dzierza
30|493006|ARTS1401|西方艺术史|History of Western Arts|创意与艺术学院|顾卫民
31|493006|ARTS1401|西方艺术史|History of Western Arts|创意与艺术学院|王颉
32|493005|ARTS1402|动画史|Animation History|创意与艺术学院|程蒙蒙
33|621445|ARTS1405|现代艺术导论|Introduction of Modern Art|创意与艺术学院|王受之,王颉
34|621445|ARTS1405|现代艺术导论|Introduction of Modern Art|创意与艺术学院|王受之
35|621445|ARTS1405|现代艺术导论|Introduction of Modern Art|创意与艺术学院|吕晓萌
36|621445|ARTS1405|现代艺术导论|Introduction of Modern Art|创意与艺术学院|王颉
37|621444|ARTS1406|创意思维|Creative Thinking|创意与艺术学院|朱力
38|621443|ARTS1407|用户体验与创新设计|User Experience and Innovative Design|创意与艺术学院|杨华
39|693303|ARTS1408|数码产品设计|Digital Product Design|创意与艺术学院|杨华
40|745201|ARTS1409|初级交互设计|Introductory Interaction Design|创意与艺术学院|Hiroki Nishino
41|746807|ARTS1410|意大利文化: 艺术和科学|Italian Culture: Art and Science|创意与艺术学院|Ernesto Carafoli
42|756838|ARTS1411|交互设计心理学|Psychology of Interaction Design|创意与艺术学院|Predrag Nikolic
43|777491|ARTS1412|数码产品设计|Digital Product Design|创意与艺术学院|杨华
44|777490|ARTS1413|用户界面设计|User Interface Design|创意与艺术学院|Predrag Nikolic
45|779525|ARTS1415|国际当代艺术全景|Panoramic View of International Contemporary Arts|创意与艺术学院|邱志杰
46|816100|ARTS1417|产品设计与结构|How Things Work|创意与艺术学院|尹由之
47|885665|ARTS1419|数码设计心理学|Psychology For Better Digital Design|创意与艺术学院|Predrag Nikolic
48|493041|ARTS1501|电影视觉语言|Film As a Visual Language|创意与艺术学院|郭海涛
49|493040|ARTS1502|电影艺术|Film Appreciation|创意与艺术学院|Tom Abrams
50|493040|ARTS1502|电影艺术|Film Appreciation|创意与艺术学院|Robert Ramsey
51|493039|ARTS1503|实验动画|Experimental Animation|创意与艺术学院|程蒙蒙
52|493036|ARTS1504|娱乐设计|Design for Entertainment|创意与艺术学院|Vlad Bina
53|621446|ARTS1506|摄影叙事与实践|The Photographic Language and Visual Storytelling|创意与艺术学院|周仰
54|745202|ARTS1507|油画与综合材料|Oil Painting and Composite Materials|创意与艺术学院|王颉
